keyword,cluster,page,source,business_fit,search_volume_us,cpc_usd,paid_competition,paid_competition_index,seo_kd,metric_status,screening_status
flirty banter lines,textmeaning,TBD,Google autocomplete: flirty banter,85,10,0.03,LOW,2,not queried,available,长尾/辅助候选，KD未查
dating intentions meaning,dating,TBD,Google autocomplete: dating intentions,75,10,,LOW,1,not queried,available,长尾/辅助候选，KD未查
flirty banter texts,textmeaning,TBD,Google autocomplete: flirty banter,85,10,0.03,LOW,10,not queried,available,长尾/辅助候选，KD未查
how to respond to a flirty message,responses,TBD,Google autocomplete: how to respond to a flirty text,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
when he needs space,distance,TBD,Google autocomplete: he needs space w,85,10,,LOW,2,not queried,available,长尾/辅助候选，KD未查
dating stages explained,dating,TBD,Google autocomplete: dating stages,75,10,0.03,LOW,4,not queried,available,长尾/辅助候选，KD未查
boyfriend is distant when stressed,distance,TBD,Google autocomplete: he is distant w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
dating stages talking,dating,TBD,Google autocomplete: dating stages,75,10,,LOW,1,not queried,available,长尾/辅助候选，KD未查
boyfriend needs space after argument,distance,TBD,Google autocomplete: he needs space a,85,10,,LOW,2,not queried,available,长尾/辅助候选，KD未查
how to stop chasing someone energetically,breakup,TBD,Google autocomplete: how to stop chasing someone,75,10,,,,not queried,available,长尾/辅助候选，KD未查
how to respond to a hey message,responses,TBD,Google autocomplete: how to respond to hey a,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
boyfriend needs space after fight,distance,TBD,Google autocomplete: he needs space a,85,10,,,,not queried,available,长尾/辅助候选，KD未查
unrequited love word,patterns,TBD,Google autocomplete: unrequited love w,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
dating vs together,dating,TBD,Google autocomplete: dating vs relationship a,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
boyfriend needs space when stressed,distance,TBD,Google autocomplete: he needs space w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
unrequited love world,patterns,TBD,Google autocomplete: unrequited love w,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
healthy flirting examples,textmeaning,TBD,Google autocomplete: flirting examples h,85,10,18.3,LOW,26,not queried,available,长尾/辅助候选，KD未查
how to respond to a hot compliment,responses,TBD,Google autocomplete: how to respond to a compliment h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he acting distant all sudden,distance,TBD,Google autocomplete: he is acting different a,85,10,,LOW,18,not queried,available,长尾/辅助候选，KD未查
do you find me attractive answer,interest,TBD,Google autocomplete: does he find me attractive a,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
early dating communication,dating,TBD,Google autocomplete: dating communication,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he distanced himself from me,distance,TBD,Google autocomplete: he is distant h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
does he find me attractive quiz,interest,TBD,Google autocomplete: does he find me attractive,85,10,,LOW,2,not queried,available,长尾/辅助候选，KD未查
how to respond to a woman's compliment,responses,TBD,Google autocomplete: how to respond to a compliment w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
biggest relationship deal breakers,patterns,TBD,Google autocomplete: relationship deal breakers h,75,10,0.05,LOW,17,not queried,available,长尾/辅助候选，KD未查
signs a relationship is over quiz,breakup,TBD,Google autocomplete: signs a relationship is over,75,10,0.36,MEDIUM,62,not queried,available,长尾/辅助候选，KD未查
love chemistry app,textmeaning,TBD,Google autocomplete: romantic chemistry a,85,10,,,,not queried,available,长尾/辅助候选，KD未查
relationship questions with answers,conversation,TBD,Google autocomplete: relationship questions w,75,10,,,,not queried,available,长尾/辅助候选，KD未查
he ignores me after argument,distance,TBD,Google autocomplete: he ignores me a,85,10,,,,not queried,available,长尾/辅助候选，KD未查
signs a relationship is worth saving,breakup,TBD,Google autocomplete: signs a relationship is over w,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship questions with friends,conversation,TBD,Google autocomplete: relationship questions w,75,10,0.03,MEDIUM,50,not queried,available,长尾/辅助候选，KD未查
how to tell flirting over text,interest,TBD,Google autocomplete: how to tell if a guy is flirting over text,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
love without chemistry,textmeaning,TBD,Google autocomplete: romantic chemistry w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how well does he know you,interest,TBD,Google autocomplete: is he worth it h,85,10,0.02,HIGH,71,not queried,available,长尾/辅助候选，KD未查
he ignores me around others,distance,TBD,Google autocomplete: he ignores me a,85,10,,,,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable after divorce,patterns,TBD,Google autocomplete: emotional unavailability a,75,10,,LOW,9,not queried,available,长尾/辅助候选，KD未查
he ignores me for days,distance,TBD,Google autocomplete: he ignores me,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
warning signs a relationship is over,breakup,TBD,Google autocomplete: signs a relationship is over w,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to respond to hey with rizz,responses,TBD,Google autocomplete: how to respond to hey w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he is distant after intimacy,distance,TBD,Google autocomplete: he is distant,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs he has fallen for you,interest,TBD,Google autocomplete: signs he is falling for you h,85,10,,LOW,2,not queried,available,长尾/辅助候选，KD未查
conversation starters for couples app,conversation,TBD,Google autocomplete: conversation starters for couples,75,10,,LOW,21,not queried,available,长尾/辅助候选，KD未查
inconsistent communication dating,dating,TBD,Google autocomplete: dating communication,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
emotionally unavailable woman traits,patterns,TBD,Google autocomplete: emotional unavailability w,75,10,,LOW,17,not queried,available,长尾/辅助候选，KD未查
how to respond to rejection with dignity,responses,TBD,Google autocomplete: how to respond to rejection w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to actually move on from someone,breakup,TBD,Google autocomplete: how to move on from someone a,75,10,0.06,MEDIUM,39,not queried,available,长尾/辅助候选，KD未查
signs he loves you without saying,interest,TBD,Google autocomplete: signs he wants you w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he says he's too busy,distance,TBD,Google autocomplete: he says he is busy,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
relationship without chemistry,textmeaning,TBD,Google autocomplete: romantic chemistry w,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs he's falling for you hard,interest,TBD,Google autocomplete: signs he is falling for you h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he says i am busy,distance,TBD,Google autocomplete: he says he is busy a,85,10,,,,not queried,available,长尾/辅助候选，KD未查
feeling disconnected with partner,patterns,TBD,Google autocomplete: feeling disconnected from partner w,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs of attraction at first sight,interest,TBD,Google autocomplete: signs of attraction a,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
how to end a relationship without hurting,breakup,TBD,Google autocomplete: how to end a relationship h,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he texts me almost everyday,distance,TBD,Google autocomplete: he texts me everyday a,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
conversation starters with my crush,conversation,TBD,Google autocomplete: conversation starters with your crush,75,10,,LOW,24,not queried,available,长尾/辅助候选，KD未查
relationship labels examples,dating,TBD,Google autocomplete: relationship labels,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
he's acting different towards me,distance,TBD,Google autocomplete: he is acting different,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
signs of attraction between two women,interest,TBD,Google autocomplete: signs of attraction,85,10,,LOW,5,not queried,available,长尾/辅助候选，KD未查
how to get closure after being ghosted,breakup,TBD,Google autocomplete: how to get closure,75,10,,LOW,5,not queried,available,长尾/辅助候选，KD未查
conversation topics with your crush,conversation,TBD,Google autocomplete: conversation starters with your crush,75,10,0.03,MEDIUM,54,not queried,available,长尾/辅助候选，KD未查
inconsistent communication early dating,patterns,TBD,Google autocomplete: inconsistent communication,75,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
what to say when he ignores you,responses,TBD,Google autocomplete: what to say when someone ignores you h,85,10,,LOW,0,not queried,available,长尾/辅助候选，KD未查
inconsistent communication in relationship,patterns,TBD,Google autocomplete: inconsistent communication,75,10,0.05,LOW,10,not queried,available,长尾/辅助候选，KD未查
deep conversation starters about life,conversation,TBD,Google autocomplete: deep conversation starters a,75,10,,MEDIUM,36,not queried,available,长尾/辅助候选，KD未查
how to ask are we exclusive,responses,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
friends with benefits,dating,TBD,round3 editorial seed,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
friends with benefits signs he likes you,dating,TBD,round3 editorial seed,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how often to see someone you are dating,dating,TBD,round3 editorial seed,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
he stopped texting but still likes my posts,distance,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
he texts me but never asks me out,distance,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
inconsistent behavior in relationships,patterns,TBD,round3 editorial seed,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
texting chemistry signs,textmeaning,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
texting green flags,textmeaning,TBD,round3 editorial seed,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs of aesthetic attraction,interest,TBD,Google autocomplete: signs of attraction a,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
alternative relationship labels,dating,TBD,Google autocomplete: relationship labels a,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how to avoid chasing women,breakup,TBD,Google autocomplete: how to stop chasing someone w,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
talking stage questions to ask a boy,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage questions,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
is she flirting with him,backlog-interest,TBD,unqueried backlog; Google autocomplete: is he flirting h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
clarity after a relationship,backlog-effort,TBD,unqueried backlog; Google autocomplete: relationship clarity a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs your ex misses you deeply,backlog-ex,TBD,unqueried backlog; Google autocomplete: signs your ex misses you,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
boyfriend ignoring my texts and calls,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: boyfriend ignoring texts,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how do you know a guy is interested through text,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs a guy is interested through text h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
why is he ignoring my texts and calls,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why does he ignore my texts,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
why is an ex hot and cold,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex hot and cold a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
why do i always initiate the conversation,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: why do i always initiate conversations a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs of alterous attraction,interest,TBD,Google autocomplete: signs of attraction a,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
asking dating intentions,dating,TBD,Google autocomplete: dating intentions a,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
awkward flirting examples,textmeaning,TBD,Google autocomplete: flirting examples a,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
talking stage questions to ask a girl,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
am i being ghosted on hinge,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: am i being ghosted h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
boyfriend stopped texting me good morning,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: boyfriend stopped texting,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ai chat analyzer online,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai chat analyzer,95,,,,,not queried,unavailable (not zero),无量数据，不能当作零
why is he ignoring my texts on purpose,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why does he ignore my texts,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how should i act in a situationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: am i in a situationship a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
why is my ex drunk texting me,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: ex drunk texting,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs of attraction wikihow,interest,TBD,Google autocomplete: signs of attraction w,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how to respond with rejection,responses,TBD,Google autocomplete: how to respond to rejection w,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
casual dating ads,dating,TBD,Google autocomplete: casual dating a,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
he was distant,distance,TBD,Google autocomplete: he is distant w,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
banter and flirting,textmeaning,TBD,Google autocomplete: banter flirting a,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
texting after first date hinge,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after first date,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
when an ex says happy birthday,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex says happy birthday a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
boyfriend stops texting me at night,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: boyfriend stopped texting,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
one word reply to how are you,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: one word replies h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
why do people start conversations with me,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: why do i always initiate conversations w,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs of attraction wlw,interest,TBD,Google autocomplete: signs of attraction w,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
banter flirting definition,textmeaning,TBD,Google autocomplete: banter flirting,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
talking stage questions to ask your crush,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage questions a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
texting chemistry vs in person,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting chemistry,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
green flags in dating apps,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in a relationship a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ai chat history analysis,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai chat analyzer h,95,,,,,not queried,unavailable (not zero),无量数据，不能当作零
he left me on delivered for a whole day,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: he leaves me on delivered a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
why is my ex husband texting me,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: why is my ex texting me h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
conversation starters hypotheticals,conversation,TBD,Google autocomplete: conversation starters h,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
casual dating hinge,dating,TBD,Google autocomplete: casual dating h,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how to stop chasing husband,breakup,TBD,Google autocomplete: how to stop chasing someone h,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
talking stage red flags in a woman,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage red flags,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
green flags in guys apartment,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in men a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs he's losing interest in a relationship,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he losing interest a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
as a guy should i always text first,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: i always text first a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs of healthy attraction,interest,TBD,Google autocomplete: signs of attraction h,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
relationship health questions,conversation,TBD,Google autocomplete: relationship questions h,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how to deal with husband rejection,responses,TBD,Google autocomplete: how to respond to rejection h,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
he ignores me why,distance,TBD,Google autocomplete: he ignores me w,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how to stop chasing wife,breakup,TBD,Google autocomplete: how to stop chasing someone w,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
what does an exclusive talking stage mean,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: exclusive talking stage a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
do ghosters come back after years,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: why do ghosters come back,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
texting everyday after second date,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after second date,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs she is emotionally invested,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he is emotionally invested,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
green flags in men examples,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in men,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
he stopped texting after second date,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: boyfriend stopped texting a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ai relationship advice chat,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai relationship advice,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
why am i always in a situationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: am i in a situationship a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
he replies to my texts but never initiates,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: he replies but never initiates,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how to deal with rejection healthily,responses,TBD,Google autocomplete: how to respond to rejection h,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
what is a talking stage vs dating,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: talking stage vs dating a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
texting everyday in a relationship,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting in a relationship,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
does relationship have boundaries,backlog-effort,TBD,unqueried backlog; Google autocomplete: relationship boundaries h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
green flags in men hinge,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in men,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ex girlfriend texts out of the blue,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex texts out of the blue,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ai relationship advice chatbot,backlog-tools,TBD,unqueried backlog; Google autocomplete: ai relationship advice,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs he's pulling away from a relationship,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs he is pulling away a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
why am i stuck in a situationship,backlog-backlog-situationship,/situationship-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: am i in a situationship w,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
i am always the first to text him,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: i always text first a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs of hiding attraction,interest,TBD,Google autocomplete: signs of attraction h,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
chemistry love words,textmeaning,TBD,Google autocomplete: romantic chemistry w,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
getting ghosted after a good date,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: ghosting after a good date,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
texting first after a date,backlog-texting,TBD,unqueried backlog; Google autocomplete: texting after first date a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs she wants something serious,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he wants something serious,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
green flags in men list,backlog-signals,TBD,unqueried backlog; Google autocomplete: green flags in men,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ex sends text out of the blue,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex texts out of the blue,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how often long distance relationship talk,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: how often should long distance couples talk,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
i am always the one to text first,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: i always text first a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs of high attraction,interest,TBD,Google autocomplete: signs of attraction h,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
relationship honesty questions,conversation,TBD,Google autocomplete: relationship questions h,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
he is distant meaning,distance,TBD,Google autocomplete: he is distant,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how long does the talking stage last for,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how long should the talking stage last a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs someone is emotionally invested,backlog-interest,TBD,unqueried backlog; Google autocomplete: signs he is emotionally invested,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
emotional availability and intelligence,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional availability a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs when a guy is losing interest,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs he is losing interest w,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
we text everyday but he never asks me out,backlog-backlog-mixed,/mixed-signals-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: he texts everyday but never asks me out,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
does my ex miss me after 4 months,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: does my ex miss me a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
one sided friendship texting lack of care unsustainable,backlog-backlog-initiation,/tools/who-texts-first,unqueried backlog; unqueried first-round backlog; Google autocomplete: one sided texting,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how long should a healthy talking stage last,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how long should the talking stage last h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ghosted after 5 months of dating,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: ghosting after months of dating,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
was i being led on,backlog-interest,TBD,unqueried backlog; Google autocomplete: am i being led on,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
emotional availability and maturity,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional availability a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
hidden red flags in men,backlog-signals,TBD,unqueried backlog; Google autocomplete: red flags in men h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
long distance dating questions to ask,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship questions a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ai text tone analyzer,backlog-tools,TBD,unqueried backlog; Google autocomplete: text tone analyzer,95,,,,,not queried,unavailable (not zero),无量数据，不能当作零
is he just being nice or is he into me,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: is he just being nice h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
does my ex miss me after 5 months,backlog-backlog-ex,/ex-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: does my ex miss me a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs of interest woman,interest,TBD,Google autocomplete: signs of attraction w,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how to respond to her apology,responses,TBD,Google autocomplete: how to respond to an apology h,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
having communication issues,patterns,TBD,Google autocomplete: inconsistent communication h,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how long should the talking stage last for,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how long should the talking stage last a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ghosted after 8 months of dating,backlog-ghosting,TBD,unqueried backlog; Google autocomplete: ghosting after months of dating,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
emotional availability in friendship,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional availability,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ex wants to catch up as friends,backlog-ex,TBD,unqueried backlog; Google autocomplete: ex wants to meet up a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
when he stops making plans with you,backlog-backlog-losing,/is-he-losing-interest,unqueried backlog; unqueried first-round backlog; Google autocomplete: he stopped making plans,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
what he thinks about,interest,TBD,Google autocomplete: what he thinks a,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
relationship questions hard,conversation,TBD,Google autocomplete: relationship questions h,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
casual relationship hinge,dating,TBD,Google autocomplete: casual relationship h,75,,,,,not queried,unavailable (not zero),无量数据，不能当作零
he was distant meaning,distance,TBD,Google autocomplete: he is distant w,85,,,,,not queried,unavailable (not zero),无量数据，不能当作零
how often do you text your talking stage,backlog-talking-stage,TBD,unqueried backlog; Google autocomplete: how often should you text in the talking stage,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
emotional availability in marriage,backlog-effort,TBD,unqueried backlog; Google autocomplete: emotional availability,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
long distance love texts for him,backlog-long-distance,TBD,unqueried backlog; Google autocomplete: long distance relationship texting h,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
ask relationship advice ai,backlog-tools,TBD,unqueried backlog; Google autocomplete: relationship advice ai a,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
signs he likes you over text but is hiding it,backlog-backlog-interest,/does-he-like-me-text-analyzer,unqueried backlog; unqueried first-round backlog; Google autocomplete: signs he likes you over text,80,,,,,not queried,unavailable (not zero),无量数据，不能当作零
